emp_no,first_name,last_name,title,to_date
10001,Georgi,Facello,Senior Engineer,1986-06-26
10004,Chirstian,Koblick,Senior Engineer,1995-12-01
10005,Kyoichi,Maliniak,Senior Staff,1996-09-12
10006,Anneke,Preusig,Senior Engineer,1990-08-05
10009,Sumant,Peac,Senior Engineer,1995-02-18
10011,Mary,Sluis,Staff,1990-01-22
10018,Kazuhide,Peha,Senior Engineer,1995-04-03
10019,Lillian,Haddadi,Staff,1999-04-30
10020,Mayuko,Warwick,Engineer,1997-12-30
10022,Shahaf,Famili,Engineer,1999-09-03
10023,Bojan,Montemayor,Engineer,1999-09-27
10026,Yongqiao,Berztiss,Senior Engineer,2001-03-19
10035,Alain,Chappelet,Senior Engineer,1996-09-05
10047,Zvonko,Nyanchama,Senior Engineer,1998-03-31
10051,Hidefumi,Caine,Senior Engineer,1998-10-15
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13
10057,Ebbe,Callaway,Senior Engineer,2000-01-15
10058,Berhard,McFarlin,Senior Staff,1988-04-25
10059,Alejandro,McAlpine,Senior Staff,1991-06-26
10063,Gino,Leonhardt,Senior Engineer,1989-04-08
10066,Kwee,Schusler,Senior Engineer,1998-02-25
10067,Claudi,Stavenow,Senior Engineer,1996-03-03
10070,Reuven,Garigliano,Technique Leader,1985-10-14
10072,Hironoby,Sidou,Senior Engineer,1995-05-21
10073,Shir,McClurg,Engineer,1998-02-02
10074,Mokhtar,Bernatsky,Technique Leader,1990-08-13
10076,Erez,Ritzmann,Senior Engineer,1996-07-15
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02
10091,Amabile,Gomatam,Senior Engineer,2001-11-18
10096,Jayson,Mandell,Engineer,1999-01-23
10097,Remzi,Waschkowski,Senior Staff,1996-09-14
10100,Hironobu,Haraldson,Senior Staff,1994-09-21
10101,Perla,Heyers,Staff,1998-10-14
10103,Akemi,Birch,Engineer,1998-01-12
10106,Eben,Aingworth,Senior Engineer,1997-10-26
10108,Lunjin,Giveon,Staff,1999-03-20
10116,Dayanand,Czap,Senior Engineer,1994-02-27
10126,Kayoko,Valtorta,Senior Staff,1991-09-08
10127,Subir,Baja,Senior Engineer,1991-05-17
10129,Armond,Peir,Technique Leader,1996-01-16
10130,Nishit,Casperson,Senior Engineer,1988-06-21
10131,Magdalena,Eldridge,Engineer,1999-09-17
10134,Diederik,Siprelle,Senior Engineer,1994-12-12
10138,Perry,Shimshoni,Senior Engineer,2001-03-03
10149,Xiadong,Perry,Staff,1994-01-28
10150,Zhenbing,Perng,Senior Engineer,1995-11-16
10152,Jaques,Munro,Engineer,1986-01-27
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08
10157,Nigel,Aloisi,Senior Engineer,1997-12-10
10159,Serif,Buescher,Senior Engineer,1996-06-12
10160,Debatosh,Khasidashvili,Senior Staff,2000-12-06
10161,Hairong,Mellouli,Engineer,1991-06-09
10163,Karsten,Szmurlo,Senior Staff,1992-02-02
10166,Samphel,Siegrist,Engineer,1996-09-02
10177,Pragnesh,Iisaka,Staff,1993-02-06
10183,Mechthild,Bonifati,Staff,1996-08-11
10186,Shigehito,Kropatsch,Staff,1996-12-25
10189,Khalid,Erva,Engineer,1992-09-13
10194,Josyula,Hofmeyr,Senior Staff,2002-02-14
10196,Marc,Hellwagner,Staff,1999-01-31
10198,Pranav,Furedi,Senior Engineer,1993-08-31
10203,Steen,Escriba,Senior Staff,1995-04-06
10205,Mabhin,Leijenhorst,Senior Engineer,1993-08-23
10207,Girolamo,Anandan,Senior Engineer,1997-10-11
10215,Xiaobin,Duclos,Senior Staff,1991-11-23
10217,Yongmin,Roison,Technique Leader,1986-05-12
10219,Genta,Kolvik,Senior Staff,1993-03-31
10224,Leon,Trogemann,Senior Engineer,1996-01-09
10228,Karoline,Cesareni,Senior Staff,1998-12-22
10229,Ulises,Takanami,Engineer,1996-02-20
10230,Clyde,Vernadat,Senior Staff,2002-06-16
10233,Lein,Vendrig,Senior Staff,2000-04-28
10237,Yannis,Mandell,Senior Staff,1997-08-11
10239,Nikolaos,Llado,Staff,1996-05-04
10240,Remko,Maccarone,Engineer,1998-10-06
10248,Frederique,Tempesti,Senior Staff,1997-08-12
10249,Marie,Boreale,Senior Engineer,2000-12-07
10258,Basil,Ishibashi,Senior Engineer,1997-05-16
10262,Mahendra,Maraist,Staff,1996-01-22
10272,Yishai,Cannane,Staff,1997-10-23
10278,Lubomir,Nitsch,Engineer,1993-07-02
10281,Moty,Kusakari,Senior Engineer,2000-12-02
10282,Hercules,Benzmuller,Engineer,2001-05-02
10283,Kauko,Birjandi,Senior Engineer,1995-05-26
10284,Masali,Murrill,Engineer,1999-07-06
10286,Saddek,Gopalakrishnan,Staff,1994-12-24
10294,Rutger,Miara,Senior Engineer,1999-01-30
10295,Kristine,Velardi,Senior Staff,2000-06-18
10298,Dietrich,DuCasse,Staff,1999-04-27
10302,Faiza,Baer,Senior Staff,1994-07-22
10305,Hirochika,Piancastelli,Engineer,1988-10-31
10306,Heng,Kilgour,Staff,1993-09-06
10307,Nikolaos,Leaver,Engineer,1999-10-16
10321,Guenter,Ravishankar,Staff,1995-07-24
10322,Isamu,Dahlbom,Senior Engineer,1997-01-29
10325,Arunachalam,Badr,Senior Staff,1990-09-20
10326,Masali,Czap,Staff,1998-09-02
10327,Roded,Facello,Engineer,1987-09-18
10328,Serenella,Kawashima,Engineer,1998-07-17
10333,Snehasis,Dymetman,Senior Engineer,1998-01-16
10340,Djelloul,Laventhal,Senior Staff,1993-03-30
10343,Dinah,Syrzycki,Senior Engineer,1997-10-03
10347,Pradeep,Kaminger,Staff,1998-02-20
10349,Oksana,Brodie,Senior Staff,1997-09-27
10350,Kristen,Kavvadias,Engineer,1997-05-10
